date;fund_name;fund_ccy;vep;aum;units_est;eur_rsd_nbs;vep_rsd;aum_rsd
2026-03-22;ECLECTICA EURO CASH UCITS;EUR;10.05835;1482008.75;147341.13945130166;117.4363;1181.215408105;174041624.167625
2026-03-22;ECLECTICA RSD CASH UCITS;RSD;1009.68147;179587115.11;177865.11929351345;;1009.68147;179587115.11
2026-03-23;ECLECTICA EURO CASH UCITS;EUR;10.0593;1482149.2;147341.18676249837;117.4368;1181.33200224;174058859.17056
2026-03-23;ECLECTICA RSD CASH UCITS;RSD;1009.82082;179611901.12;177865.1197942225;;1009.82082;179611901.12
2026-03-24;ECLECTICA EURO CASH UCITS;EUR;10.06025;1482289.67;147341.23605278198;117.4413;1181.488838325;174082025.821371
2026-03-24;ECLECTICA RSD CASH UCITS;RSD;1009.96017;134636686.69;133308.90731067146;;1009.96017;134636686.69
2026-03-25;ECLECTICA EURO CASH UCITS;EUR;10.06121;1482430.13;147341.13789494502;117.4414;1181.602588094;174098669.869382
2026-03-25;ECLECTICA RSD CASH UCITS;RSD;1010.1346;134659939.71;133308.90725849805;;1010.1346;134659939.71
2026-03-26;ECLECTICA EURO CASH UCITS;EUR;10.06216;1482570.53;147341.1802237293;117.4367;1181.666865272;174108190.560451
2026-03-26;ECLECTICA RSD CASH UCITS;RSD;1010.27352;135678458.56;134298.73779132607;;1010.27352;135678458.56
2026-03-29;ECLECTICA EURO CASH UCITS;EUR;10.06502;1482991.9;147341.1776628362;117.4403;1182.038968306;174163013.63357
2026-03-29;ECLECTICA RSD CASH UCITS;RSD;1010.68676;135733956.14;134298.73776124264;;1010.68676;135733956.14
2026-03-30;ECLECTICA EURO CASH UCITS;EUR;10.06599;1483135.7;147341.2649923157;117.438;1182.12973362;174176490.3366
2026-03-30;ECLECTICA RSD CASH UCITS;RSD;1010.82165;135752072.26;134298.73831847587;;1010.82165;135752072.26
2026-03-31;ECLECTICA EURO CASH UCITS;EUR;10.0669;1483268.42;147341.12984136128;117.4225;1182.08056525;174169086.04744998
2026-03-31;ECLECTICA RSD CASH UCITS;RSD;1010.91527;135764644.99;134298.7380040268;;1010.91527;135764644.99
2026-04-01;ECLECTICA EURO CASH UCITS;EUR;10.06785;1483408.73;147341.1632076362;117.4061;1182.0270038849999;174161233.69525298
2026-04-01;ECLECTICA RSD CASH UCITS;RSD;1011.05301;135783143.08;134298.73778823923;;1011.05301;135783143.08
2026-04-02;ECLECTICA EURO CASH UCITS;EUR;10.0688;1483549.09;147341.20153344987;117.3943;1182.0197278399999;174160206.936187
2026-04-02;ECLECTICA RSD CASH UCITS;RSD;1011.19097;136101670.43;134595.41715448667;;1011.19097;136101670.43
2026-04-05;ECLECTICA EURO CASH UCITS;EUR;10.07217;2080039.71;206513.5626185817;117.3849;1182.320668233;244165253.354379
2026-04-05;ECLECTICA RSD CASH UCITS;RSD;1011.60378;136157233.55;134595.41793131694;;1011.60378;136157233.55
2026-04-06;ECLECTICA EURO CASH UCITS;EUR;10.07313;2080239.36;206513.70130237573;117.3735;1182.3185240550001;244164974.52096003
2026-04-06;ECLECTICA RSD CASH UCITS;RSD;1011.74153;136375774.17;134793.09697803942;;1011.74153;136375774.17
2026-04-07;ECLECTICA EURO CASH UCITS;EUR;10.0741;2080439.15;206513.64886193306;117.3737;1182.43439117;244188840.660355
2026-04-07;ECLECTICA RSD CASH UCITS;RSD;1011.87905;136394310.63;134793.0966947087;;1011.87905;136394310.63
2026-04-08;ECLECTICA EURO CASH UCITS;EUR;10.07507;2080638.29;206513.53191590728;117.375;1182.56134125;244214919.28875
2026-04-08;ECLECTICA RSD CASH UCITS;RSD;1012.01664;136612856.83;134990.72192133125;;1012.01664;136612856.83
2026-04-13;ECLECTICA EURO CASH UCITS;EUR;10.0799;2081636.86;206513.64200041667;117.3774;1183.15245426;244337122.370964
2026-04-13;ECLECTICA RSD CASH UCITS;RSD;1012.70341;136705564.13;134990.72164672578;;1012.70341;136705564.13
2026-04-14;ECLECTICA EURO CASH UCITS;EUR;10.08085;2030832.38;201454.47854099603;117.3765;1183.254890025;238371996.85107
2026-04-14;ECLECTICA RSD CASH UCITS;RSD;1012.84076;136724104.66;134990.72120675712;;1012.84076;136724104.66
2026-04-15;ECLECTICA EURO CASH UCITS;EUR;10.08182;2031028.81;201454.57962947167;117.374;1183.34354068;238389975.54494
2026-04-15;ECLECTICA RSD CASH UCITS;RSD;1012.9781;136742644.92;134990.72183297938;;1012.9781;136742644.92
2026-04-16;ECLECTICA EURO CASH UCITS;EUR;10.08258;2031182.1;201454.59793029167;117.3741;1183.433753178;238408170.92361
2026-04-16;ECLECTICA RSD CASH UCITS;RSD;1013.11544;136761184.81;134990.7220938218;;1013.11544;136761184.81
2026-04-19;ECLECTICA EURO CASH UCITS;EUR;10.08547;2031764.38;201454.6054869034;117.3783;1183.815323301;238485048.92495397
2026-04-19;ECLECTICA RSD CASH UCITS;RSD;1013.52746;136816802.74;134990.72115914847;;1013.52746;136816802.74
2026-04-20;ECLECTICA EURO CASH UCITS;EUR;10.08644;2031958.49;201454.47650509002;117.3811;1183.957422284;238513522.710539
2026-04-20;ECLECTICA RSD CASH UCITS;RSD;1013.66479;136835341.42;134990.72155796195;;1013.66479;136835341.42
2026-04-21;ECLECTICA EURO CASH UCITS;EUR;10.0874;2032152.62;201454.5492396455;117.396;1184.2204104;238566588.97752002
2026-04-21;ECLECTICA RSD CASH UCITS;RSD;1013.80212;136853879.8;134990.72166075173;;1013.80212;136853879.8
2026-04-22;ECLECTICA EURO CASH UCITS;EUR;10.08836;2032346.75;201454.6219603583;117.4045;1184.41886162;238606654.010375
2026-04-22;ECLECTICA RSD CASH UCITS;RSD;1013.93945;136872417.88;134990.72146763792;;1013.93945;136872417.88
2026-04-23;ECLECTICA EURO CASH UCITS;EUR;10.08933;2032540.93;201454.4999519294;117.4158;1184.6467534140002;238652419.32869402
2026-04-23;ECLECTICA RSD CASH UCITS;RSD;1014.07677;136890955.63;134990.72228032598;;1014.07677;136890955.63
2026-04-26;ECLECTICA EURO CASH UCITS;EUR;10.09221;2048124.66;202941.1456955414;117.4265;1185.092897565;240504110.38749
2026-04-26;ECLECTICA RSD CASH UCITS;RSD;1014.48868;138446963.93;136469.6981438965;;1014.48868;138446963.93
2026-04-27;ECLECTICA EURO CASH UCITS;EUR;10.09317;2048319.14;202941.11166263916;117.4269;1185.209664273;240527766.820866
2026-04-27;ECLECTICA RSD CASH UCITS;RSD;1014.62541;138465623.24;136469.6979548344;;1014.62541;138465623.24
